over,current_score,wickets_fallen,runs_required,balls_remaining,current_run_rate,required_run_rate,kf_win_prob,lr_win_prob,rf_win_prob,gb_win_prob
1,7,0,211.0,114,7.0,11.105,0.336,0.336,0.12,
2,25,0,193.0,108,12.5,10.722,0.539,0.581,0.165,
3,38,0,180.0,102,12.667,10.588,0.624,0.634,0.362,
4,56,0,162.0,96,14.0,10.125,0.737,0.716,0.565,
5,73,0,145.0,90,14.6,9.667,0.779,0.766,0.763,
6,80,1,138.0,84,13.333,9.857,0.644,0.654,0.566,
7,82,2,136.0,78,11.714,10.462,0.476,0.487,0.617,
8,84,3,134.0,72,10.5,11.167,0.278,0.297,0.347,
9,96,3,122.0,66,10.667,11.091,0.311,0.306,0.326,
10,105,4,113.0,60,10.5,11.3,0.253,0.233,0.324,
11,110,4,108.0,54,10.0,12.0,0.214,0.206,0.255,
12,125,4,93.0,48,10.417,11.625,0.295,0.29,0.211,
13,128,4,90.0,42,9.846,12.857,0.187,0.197,0.211,
14,136,5,82.0,36,9.714,13.667,0.101,0.102,0.152,
15,150,5,68.0,30,10.0,13.6,0.147,0.133,0.181,
16,156,6,62.0,24,9.75,15.5,0.044,0.042,0.177,
17,174,6,44.0,18,10.235,14.667,0.099,0.081,0.334,
18,181,6,37.0,12,10.056,18.5,0.025,0.02,0.149,
19,190,6,28.0,6,10.0,28.0,0.0,0.0,0.027,
20,205,7,13.0,0,10.25,0.0,0.0,0.0,0.0,0.0
