Season,Matches,Total_Balls,Avg_1st_Innings_Total,Avg_2nd_Innings_Total,Chase_Success_Rate_pct,Avg_Boundaries_per_Innings,Avg_Dot_Rate_pct
2008,58,12950,161.0,148.3,62.1,19.9,36.4
2009,57,13095,150.3,136.1,52.6,15.9,37.6
2010,60,13938,164.8,149.6,46.7,19.1,34.5
2011,72,16364,153.7,139.3,55.6,17.6,36.9
2012,74,17208,157.5,145.9,54.1,17.8,35.1
2013,76,17637,155.9,140.7,48.7,17.9,37.2
2014,60,13845,163.1,152.1,61.7,18.9,35.1
2015,57,12903,165.3,149.5,42.1,19.7,35.1
2016,60,13618,162.6,151.8,68.3,18.8,33.0
2017,59,13401,165.8,152.3,54.2,19.6,32.8
2018,60,13808,172.5,159.2,53.3,21.0,33.3
2019,59,13806,168.5,158.6,59.3,20.4,34.5
2020,60,14053,169.5,153.0,48.3,19.3,33.5
2021,60,13888,159.3,151.0,61.7,18.5,34.8
2022,74,17138,171.1,158.5,50.0,20.7,35.5
2023,73,17021,183.5,166.7,45.2,22.3,32.5
2024,71,16299,189.6,176.2,50.7,24.0,31.4
2025,71,16209,190.4,176.4,52.1,24.6,30.9
All Seasons,1161,267181,166.9,153.6,53.7,19.8,34.4
