venue,n_matches,avg_first_innings_total
Wankhede Stadium,125,170.5
Eden Gardens,99,168.3
Arun Jaitley Stadium,96,173.0
M. Chinnaswamy Stadium,96,173.7
MA Chidambaram Stadium,91,163.9
Rajiv Gandhi International Stadium,82,165.3
Sawai Mansingh Stadium,64,165.5
Punjab Cricket Association IS Bindra Stadium,61,168.3
Maharashtra Cricket Association Stadium,51,162.4
Dubai International Cricket Stadium,46,163.8
Narendra Modi Stadium,45,180.4
Sheikh Zayed Stadium,37,158.9
Dr DY Patil Sports Academy,37,159.6
Sharjah Cricket Stadium,28,159.0
Brabourne Stadium,27,178.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",21,177.8
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17,169.5
Kingsmead,15,152.0
Himachal Pradesh Cricket Association Stadium,14,187.5
SuperSport Park,12,154.8
Maharaja Yadavindra Singh International Cricket Stadium,11,168.9
Saurashtra Cricket Association Stadium,10,168.9
Holkar Cricket Stadium,9,160.3
New Wanderers Stadium,8,144.0
St George's Park,7,159.0
Barabati Stadium,7,167.7
Newlands,7,139.4
JSCA International Stadium Complex,7,149.0
Shaheed Veer Narayan Singh International Stadium,6,146.3
Barsapara Cricket Stadium,5,174.6
Nehru Stadium,5,146.8
Green Park,4,161.2
De Beers Diamond Oval,3,158.0
Buffalo Park,3,147.3
Vidarbha Cricket Association Stadium,3,149.3
OUTsurance Oval,2,135.0
