Season,Model,Brier,AUC,N_balls
2023,Kalman Filter,0.205755,0.742951,17745
2023,Logistic Regression,0.207617,0.737564,17745
2023,Random Forest,0.20669,0.740393,17745
2023,Gradient Boosting,0.204189,0.746192,17745
2024,Kalman Filter,0.185664,0.790967,17103
2024,Logistic Regression,0.187218,0.787896,17103
2024,Random Forest,0.17336,0.821573,17103
2024,Gradient Boosting,0.171928,0.823806,17103
2025,Kalman Filter,0.182023,0.803184,16969
2025,Logistic Regression,0.182574,0.802775,16969
2025,Random Forest,0.177831,0.811653,16969
2025,Gradient Boosting,0.176346,0.816821,16969
